Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz
Agranular insular area,41.223618201299985,-15.773622318160005,1.0,0.3471579751150581,0.1989183616978516,0.8660540724457115
Agranular insular area posterior part,12.975490889300001,-37.85616612807083,1.0,0.4974823529594372,0.4932051862906154,-2.768662156371345
Agranular insular area ventral part,38.573895017699996,-15.14503871659,1.0,0.4345760127291229,0.3068692189094783,0.2444068779373948
Anterior amygdalar area,40.42865112069999,-10.45626183251,2.0,0.3830906638603059,0.2824859698427583,0.6979099021084353
Anterior cingulate area dorsal part,20.683170236030005,-25.03081314096,2.0,0.3960107881633583,0.3036918849622139,-1.186220978015009
Anterior cingulate area ventral part,18.283826930140005,-30.081395188299993,2.0,0.3856498831901662,0.3545536305683704,-1.587813389973709
Anterior hypothalamic nucleus,31.888243523099998,-16.90091782411,1.0,0.4853778720713041,0.4702724618812788,-0.7653707082470742
Anterodorsal nucleus,40.9127650647,-11.5470424644,1.0,0.3785582197563699,0.2695675319923826,0.7246056941259943
Anterolateral visual area,29.224283624500003,-24.594251411010006,1.0,0.2103449885355614,0.2256278590227315,0.1670746418589764
Anteroventral nucleus of thalamus,41.7673301845,-14.8165022477,1.0,0.3793891364915586,0.2392891674543309,0.7607445508879568
Anteroventral periventricular nucleus,24.760469779210002,-31.850802378933995,2.0,0.1570327810070814,0.1680213156832918,-0.2031321896117759
Anteroventral preoptic nucleus,25.96464682406499,-23.3696132072,1.0,0.3443626343793554,0.3681392789830744,-0.5600439478898293
Basolateral amygdalar nucleus,33.78378565751,-17.563670073439994,2.0,0.3058375543944751,0.2600117849326439,0.3291468887097315
Bed nuclei of the stria terminalis,26.2907319827,-16.268082026940004,1.0,0.3850484248559123,0.4528651953460237,-0.6263072468484174
Caudoputamen,14.025708012499997,-37.94385834700999,2.0,0.4497018876529143,0.4563204591261736,-2.720176061282333
Central amygdalar nucleus,36.865494082709986,-21.176113307700007,2.0,0.06274759738602054,0.02423196353671531,1.459112080878228
Central lateral nucleus of the thalamus,40.090483778060005,-16.8311215049,1.0,0.3384619569326774,0.1870767758671849,0.8151721142417474
Central medial nucleus of the thalamus,40.2017198654,-10.792290297400003,2.0,0.4998172019565172,0.4999597463918313,-0.6838098994796177
Claustrum,34.64161913588,-22.468915020350003,2.0,0.07826476689023987,0.04356216103824451,1.1755550510578
Cortical amygdalar area,28.999619270499988,-25.631786292899996,2.0,0.202927272826981,0.1311815905705663,0.2389893788997431
Cortical amygdalar area posterior part,27.598334451200007,-24.909016230400002,1.0,0.3940670937349141,0.3981830416425294,-0.6712938807100289
Culmen,27.716502084970006,-24.051207984239998,1.0,0.1763588482097012,0.1948779273001374,0.1516576401033126
Dentate gyrus,37.43561009971001,-19.9525268331,1.0,0.2274630356362142,0.1353413205571872,0.9422981026242293
Diagonal band nucleus,30.742607721600013,-17.808378632500002,1.0,0.4993100043548724,0.499999948503039,-1.241844785027076
Dorsal auditory area,19.1433022821,-27.502438838110844,1.0,0.4681511566327825,0.4868930259342479,-1.838874278167791
Dorsal part of the lateral geniculate complex,36.36471692389999,-24.984316435400007,1.0,0.04823406572494515,0.0172573185202417,1.320854984714707
Dorsal peduncular area,21.082710107089998,-26.255669810319,1.0,0.422736027841771,0.4510549605265389,-1.366341777504115
Dorsomedial nucleus of the hypothalamus,38.135423511700004,-15.266162472760001,2.0,0.2789030996229563,0.2020482705678106,0.8879082709120616
Ectorhinal area,32.9667100752,-21.73202563792,1.0,0.1010621409704568,0.1757122952756165,0.7616547981942512
Endopiriform nucleus,32.727691873800005,-28.692146846099998,2.0,0.0225305145728405,0.005360583151343468,1.127971494795333
Entorhinal area lateral part,30.124602296600006,-32.64747520580001,1.0,0.00837326277002326,0.02850614638831517,0.8010792903994459
Entorhinal area medial part,35.06515680255001,-23.484723131649996,1.0,0.1402349073689172,0.1011462859087413,0.948602637440891
Field CA1,35.81413731036002,-14.8111632397,1.0,0.4876535957766762,0.4264862575734218,-0.4134551801692826
Field CA2,38.382981223510015,-12.651514026700001,2.0,0.4547264045372614,0.4547065009971094,-0.1122599374640382
Field CA3,40.75604894840001,-13.76260968167,1.0,0.355615121473652,0.2389086099594259,0.7914607367732015
Frontal pole cerebral cortex,26.000987201800008,-23.18338538844,1.0,0.484466606895681,0.4837535477737607,-1.354983409643401
Fundus of striatum,22.022450405200008,-30.4627060703,2.0,0.2672127738790645,0.2066411067378211,-0.7025693863313687
Globus pallidus external segment,34.8660116134,-18.931690450709997,2.0,0.2384228051202555,0.1784275313731993,0.6935251771343561
Gustatory areas,34.34530090939999,-24.06364223381999,1.0,0.1547761519870952,0.1218214704867708,0.8327140436569392
Inferior colliculus,29.047166800699998,-25.195431874419,1.0,0.1246088538747111,0.1433231888585151,0.4036300951854108
Infralimbic area,28.944647703180003,-18.574681449050004,2.0,0.493882830537773,0.475350368317373,-1.348645691791083
Intercalated amygdalar nucleus,26.44662204972001,-33.7619368405,2.0,0.07493241628641145,0.07075975260777767,0.2715473647446481
Interpeduncular nucleus,16.777834911130473,-26.066477365410005,1.0,0.3662866186470943,0.4357692976534556,-1.484382787155115
Lateral amygdalar nucleus,31.374994089030007,-19.48232751911,2.0,0.2719862804104829,0.2348197466018767,0.214321726085912
Lateral dorsal nucleus of thalamus,36.63580224314999,-24.308293170600006,1.0,0.08091857002089065,0.03717624663820063,1.264500747612243
Lateral habenula,36.20753505083,-16.0598783455,2.0,0.3778005564984538,0.310640478771531,0.2493327588046542
Lateral hypothalamic area,20.114808306510003,-27.190043507038997,2.0,0.4159334393431677,0.3924190926857447,-1.555340177298468
Lateral posterior nucleus of the thalamus,31.751780933020008,-29.90045379319999,1.0,0.04622873016039475,0.05870243438338452,0.852788058532604
Lateral preoptic area,36.30319733896,-14.168751411499999,2.0,0.3966208609397793,0.3458464044550525,0.174191550028835
Lateral septal complex,34.84745656850001,-9.307750985019998,1.0,0.4619482173820676,0.4989681222220371,-0.2651280200047583
Lateral visual area,30.115391393290004,-28.695684080000003,1.0,0.09616654731173768,0.1172842117282021,0.5530301153208157
