Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz
Agranular insular area,49.6291897533,-11.069337885748999,1.0,0.5205757143018358,0.3684613753527467,-1.455815930385426
Agranular insular area posterior part,51.29833513249997,-17.956248369100003,1.0,0.2909621925986762,0.366013248110633,0.2091654613605945
Agranular insular area ventral part,21.945777898899998,-21.5094592279,2.0,0.5304720387112347,0.5534732061993356,-0.5874837570106956
Anterior amygdalar area,39.22224545795,-15.328340389999997,3.0,0.5011643338231392,0.4314435691042575,0.3236875279160809
Anterior cingulate area dorsal part,58.59713866640002,-11.556340485100002,3.0,0.5371702846737552,0.1722614371444543,0.2415918173841018
Anterior cingulate area ventral part,42.103826683200005,-13.271345920415001,1.0,0.3917679844833852,0.4718255989708653,-1.280290591158545
Anterior hypothalamic nucleus,61.17045882499998,-13.235892599020003,3.0,0.5184596364564807,0.09760687556762526,0.953794814679708
Anterodorsal nucleus,64.02391049140002,-17.50364586813,1.0,0.3930025545044501,0.06753041196305687,0.7791919015668466
Anterolateral visual area,63.614744101209986,-15.5336960431,1.0,0.3784445983573519,0.07931950830846402,0.8961601691639185
Anteroventral nucleus of thalamus,62.880124316899995,-17.5699072511,1.0,0.4624384244377792,0.00334009222674525,-0.1011032289324044
Anteroventral periventricular nucleus,59.33900735551299,-16.157233304435,3.0,0.4888643940482182,0.007902890519739914,0.1400771196927171
Anteroventral preoptic nucleus,54.44541627119998,-19.936778381668,1.0,0.3553266074388975,0.215371924874286,0.1465145432463581
Basolateral amygdalar nucleus,18.1744808177,-59.734427146099996,2.0,0.1081344306957113,0.4009834945062335,1.30348324239369
Bed nuclei of the stria terminalis,58.04723552279001,-11.7902613761,3.0,0.5353365120469258,0.1781354732241495,0.6446881428654069
Caudoputamen,67.48165677057,-14.676433205609998,1.0,0.4660209616140157,0.004387456291896741,0.1992618665169846
Central amygdalar nucleus,20.723304364700002,-45.22466458114897,2.0,0.3617480122593445,0.3265666305121824,0.8550130340125072
Central lateral nucleus of the thalamus,62.504329352800006,-17.4598411308,1.0,0.4676496860382185,0.001415932383393992,-0.2123643456444841
Central medial nucleus of the thalamus,58.83140563452001,-13.376844378,3.0,0.5232021887687016,0.122283523861166,1.081078760319845
Claustrum,15.613679205399999,-36.19032654090798,2.0,0.487645300600366,0.475787912506225,-0.6892529978631251
Cortical amygdalar area,46.594742738699985,-12.54644249704,3.0,0.542001288686199,0.3522466642948046,0.7718963865146545
Cortical amygdalar area posterior part,17.651025626999996,-56.022707158300015,2.0,0.3035906457604632,0.3014504190445962,0.679704541421698
Culmen,11.197529260599998,-52.14057500910999,2.0,0.2825795903694091,0.5362213883523388,-0.4658689667523169
Dentate gyrus,67.16410616450001,-15.6819423876,1.0,0.4238858349092843,0.02909201872877287,0.7663985003904247
Diagonal band nucleus,58.30201043649997,-18.344545605400004,1.0,0.3333152853723668,0.2015365492586723,0.6877969433939853
Dorsal auditory area,52.2253458442,-20.312056716959997,1.0,0.3386929312894378,0.2605481717795104,0.02430361701701981
Dorsal part of the lateral geniculate complex,66.01090886985,-16.6570936387,1.0,0.4596537746481408,0.0,0.1687442114820484
